title,avg_sentiment_score
朝鲜宣布氢弹试验成功 中俄美日韩等国纷纷回应,-1.0825
日韩慰安妇和解与美日合谋_中国经济网——国家经济门户,-1.7
美日韩酝酿更强硬对朝制裁呼吁中国发挥作用,-0.85
日韩曾秘密举行联合海上训练修补关系仍待时日 - 韩国频道,-0.165
韩日秘密军演被日媒公开韩曾要求日保密不公布 - 军事- 人民网,-2.0
"韩国或引进""萨德"" 少将：剑指中俄(图)",-2.3
朝开弃核条件，美不应冷脸贴热屁股（图） - 评论理论频道,-0.6
总体国家安全观：我国国家安全观的新里程碑,-0.20000000000000004
美国为何推卸朝核问题责任,-1.6600000000000001
破解TPP约束激发自贸区构建新动力_中国经济网——国家经济门户,-0.35
美日韩拉响警报 “动用所有侦察手段监视朝鲜导弹发射”,-1.0066666666666666
朝鲜向中俄派去外交官 美日韩媒体将怨气撒向中国,-1.2333333333333334
美媒:朝核问题远比伊核问题更复杂 更难解决,-1.03
朝核危机，撇不开朝鲜 - 环球人物- 人民网,-1.2385714285714289
日媒：美日韩拟针对与朝交易企业采取新金融制裁 - 韩国频道,-0.285
朝鲜宣布成功发射火箭 美日韩表示强烈谴责,-0.51
朝鲜“放卫星”中国怎么办 美朝态度是关键,-0.27999999999999997
朝鲜射星，中国网民反对半岛生战生乱,-1.04
“萨德”入韩，应三思而后行,-3.1
美“萨德”趁乱入韩包藏祸心意在构建亚洲版“北约” - 韩国频道,-1.8
彭念：朝鲜射星将促使美日韩步调一致 - 环球科技,-0.48600000000000004
"APD观察|""萨德""，""项庄""之剑指向何方？",-1.7375
日媒:美韩军事合作连连 既针对朝鲜也牵制中国,-1.225
东北亚离“热”战还有多远？ - 人民日报,-1.3283333333333334
解局:美国现在会不会打朝鲜?,-1.5625
美先进装备入韩想干嘛？专家：虚张声势借题发挥 - 韩国频道,-1.3250000000000002
安倍摸索与朴槿惠举行首脑会谈欲凸显美日韩三国团结,0.375
安倍想推美日韩三国联盟 就南海问题对华施压,-0.4000000000000001
东亚处在历史的十字路口,-1.2
美日韩军事结盟是危害东北亚安全的“毒剂”,-0.36250000000000004
专家：美日韩军事结盟是危害东北亚安全的“毒剂”【2】,-0.18599999999999992
美日韩举行副外长级磋商 确认加大对朝鲜施压力度,-1.4
特朗普:日韩应“全额报销”美国驻军费用,-0.9
美日韩将于夏威夷举行联合军演 合作关系明朗化,-0.7649999999999999
中日韩美四国联合开展高中生安全意识调查结果发布 - 韩国频道,-0.9199999999999999
美媒:美对华战略注定失败 或酿灾难军事冲突,-1.8
美媒:美国需要降低与中国的对抗 而非反其道而行之,-1.9000000000000001
美国双航母编队或现身南海 专家:会实施跟踪监视,-0.8566666666666666
美日韩紧急应对朝鲜导弹日本称或也引进萨德,-1.25
外媒:美日韩演习警示中俄 美国不会被挤出亚洲,-0.8600000000000001
警惕东亚重回冷战时代,-0.7
专家:美日韩军演为部署萨德做准备 美下定决心,-0.8400000000000001
大国胸怀与大国威严：习近平的国际新思维 - 理论- 人民网,0.39249999999999996
中国对在韩部署“萨德”表示强烈不满和坚决反对俄罗斯敦促美 ...,-2.4825
韩美一意孤行部署萨德地区军备竞赛或将开启,-1.89
"俄敦促美韩收回部署""萨德""决定 韩民众反对成导弹防御前哨",-2.2199999999999998
当朴槿惠铁了心跟美国走 - 环球人物- 人民网,-1.0571428571428572
美在韩部署“萨德”系动摇全球战略稳定体系的危险之举,-2.4333333333333336
韩日关系拔刺容易愈合难 - 人民日报,-0.8125
韓日關係拔刺容易癒合難_新加坡頻道_新華網,-1.0325
"韩国部署""萨德""必将自食恶果——一论反对""萨德""入韩",-2.7675
引入“萨德” 韩国后患无穷-光明日报,-2.775
日本加速升级“爱国者”反导系统并计划引入“萨德”,-1.26
从“萨德”入韩部署看韩国外交的无奈与困境,-1.6500000000000001
绝不容许美国“反导霸权”祸害东北亚——三论反对“萨德”入韩,-2.3925
专家：日本支持美在韩部署“萨德”系统别有用心,-1.185
“萨德”入韩是危害东北亚安全的“毒药”——四论反对“萨德”入韩,-2.8
“萨德”入韩：韩国将因其战略短视而自食恶果,-2.325
“萨德”入韩是危害东北亚安全的毒药,-2.4
李敦球:“新冷战”会重现中俄朝VS美日韩吗,-1.475
新华社已连发五篇评论反对“萨德”入韩,-2.9285714285714284
海外版望海楼:部署“萨德”后果很严重,-2.45
"“萨德”入韩,应三思而后行",-2.9000000000000004
逆流而动后患无穷——五问“萨德”入韩【2】,-1.525
美韩应悬崖勒马以免冷战阴云重现,-2.66
“萨德”部署韩国：东北亚的地缘之殇 - 评论理论频道- 中国经济网,-1.175
中俄保卫战略安全利益绝不妥协——七论反对“萨德”入韩,-1.2
必须警惕“萨德”多米诺效应 - 人民日报,-1.3444444444444446
军报：“萨德”入韩破坏地区战略平衡,-2.0
“萨德”入韩防御范围却不包括首尔,-1.5625
朝鲜射弹后狠批在韩部署萨德:朴槿惠亲美卖国,-0.9233333333333333
“萨德”入韩记,0.0
起底美国推动“萨德”入韩阴谋,-1.4666666666666668
港媒:美日韩可能建军事联盟 中俄将加强合作制衡,-1.67
警惕“萨德”多米诺效应名为“保护”实为“威慑”,-1.2933333333333334
“萨德”入韩，俄罗斯不会坐视不理吞下苦果,-1.6339999999999997
"重返亚太,美国扮演“破坏者”(环球热点)",-1.48
韩媒:萨德强化美日韩反导 妨碍中方反介入战略,-1.55
日本添乱欲提前引进萨德美日韩联盟日益成形 - 无人机,-0.45
日本也要搞萨德安的什么心？,-1.0833333333333333
专家:美国正编织两道铁幕 中国成美首要对手,-1.3699999999999999
“萨德”能把日韩捆在一辆战车上吗？ - 人民日报,-1.4666666666666668
萨德，怎样的“居心叵测” - 人民日报,-2.18
美日韩情报合作：联手在西太平洋织“谍网”,-1.01
美日韩情报合作：进展与困顿 - 军事- 人民网,-0.9766666666666667
美何以热衷多边机制 从冷漠排斥到全面拥抱,-0.75
专家:在韩部署萨德或弱化中国对日本导弹威慑,-1.8800000000000001
美日韩寻求对朝最强制裁 外媒:中国将持谨慎态度,-0.85
"日本女防长首访美,称将加强在南海行动参与",0.0
不要误读中国关于朝核完整统一的三句话,-1.35
美韩称朝鲜发射导弹失败日防相称对日本无影响,-0.64
日韩最快下月重启军事情报共享谈判或年内签协定,-0.19
韩日缘何重启军事情报协定谈判,-0.75
日韩军保协定给朴槿惠火上浇油,-1.0671428571428572
韩外交的“门”里“门”外,-1.5733333333333333
美日韩打造三角同盟？韩民众抗议对日卖国协定 - 军事,-1.25
韩日草签《军事情报保护协定》背后的纷扰,-1.35
韩日草签军事情报协定背后有怎样的纷扰？,-0.6
韩日草签军事情报共享协定专家:中国或面临威胁,-1.5
新闻分析：韩日军事合作或成朴槿惠政权新“毒药”,-1.7133333333333336
韩日签署军事协定，要搞“东北亚小北约”？,-1.2333333333333334
日本也要部署“萨德”系统？,-0.6799999999999999
尘封的韩日情报协定缘何获“速签”,-0.6
韩日正式签署《军事情报保护协定》,-1.45875
韩日签军事情报协定助美打造“铁三角”？ - 人民网,-1.6333333333333335
日韩军事情报保护协定，“小北约”的开始？,-1.8499999999999999
韩为何在反对声中签韩日《军事情报保护协定》,-0.5
韩国为何在反对声中签协定？,-0.55
美日韩追加对朝单边制裁朝：将采取强有力自卫措施 - 国际新闻,-1.255
美日韩放话还要追加对朝单边制裁 朝方强硬表态,-1.125
韩日军事合作无异于战略自杀,-2.14
"专家:""萨德""入韩进入倒计时 美欲借机形成准军事同盟",-0.615
韩日情报共享能走多远 - 人民日报,-1.5333333333333332
